City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,talnakh,69.4865,88.3972,-19.33,95,100,4.08,RU,02/08/2023 22:44:22
220,sinnamary,5.3833,-52.95,23.99,90,99,4.73,GF,02/08/2023 22:44:31
221,yeppoon,-23.1333,150.7333,29.88,61,92,10.31,AU,02/08/2023 22:47:28
222,dongsheng,39.8161,109.9776,-1.33,62,46,6.54,CN,02/08/2023 22:47:28
223,marzuq,14.4,46.4667,17.93,27,55,0.23,YE,02/08/2023 22:47:29
224,surt,31.2089,16.5887,13.52,66,0,11.57,LY,02/08/2023 22:47:29
225,erzin,36.9559,36.2,0.52,52,0,1.57,TR,02/08/2023 22:47:30
226,charters towers,38.5736,-83.4333,10.66,49,100,2.64,US,02/08/2023 22:47:30
227,nogliki,51.8333,143.1667,-23.14,75,11,6.33,RU,02/08/2023 22:47:30
228,touros,-5.1989,-35.4608,26.01,81,13,5.0,BR,02/08/2023 22:44:04
229,iqaluit,63.7506,-68.5145,-33.15,68,0,11.83,CA,02/08/2023 22:42:45
230,huarmey,-10.0681,-78.1522,22.44,85,8,2.48,PE,02/08/2023 22:44:27
231,podor,16.6527,-14.9587,20.97,52,0,2.06,MR,02/08/2023 22:47:31
232,mys shmidta,62.0589,48.6201,-7.56,95,50,3.87,RU,02/08/2023 22:47:31
233,cartagena,10.3997,-75.5144,25.79,78,0,2.57,CO,02/08/2023 22:43:38
234,chardara,41.2547,67.9692,1.09,89,100,4.87,KZ,02/08/2023 22:47:32
235,airai,-8.9266,125.4092,20.65,77,98,1.88,TL,02/08/2023 22:43:13
236,shimoda,34.6667,138.95,11.2,54,96,5.68,JP,02/08/2023 22:47:32
237,cabedelo,-6.9811,-34.8339,25.37,82,65,4.36,BR,02/08/2023 22:47:33
238,geraldton,-28.7667,114.6,30.23,45,0,6.69,AU,02/08/2023 22:43:23
239,narsaq,60.9167,-46.05,-8.88,93,100,4.07,GL,02/08/2023 22:43:38
240,ayan,56.45,138.1667,-23.8,59,61,1.36,RU,02/08/2023 22:45:46
241,shitkino,56.3703,98.3543,-9.8,93,100,1.07,RU,02/08/2023 22:47:34
242,vao,-22.6667,167.4833,26.16,81,100,6.2,NC,02/08/2023 22:40:26
243,baykit,61.67,96.37,-15.55,97,99,0.71,RU,02/08/2023 22:47:34
244,yaring,6.8662,101.3689,27.81,71,100,4.53,TH,02/08/2023 22:47:34
245,bara,10.3744,10.7288,19.93,22,90,3.62,NG,02/08/2023 22:47:35
246,mount gambier,53.6597,-1.8537,5.51,88,100,2.74,GB,02/08/2023 22:47:35
247,inhapim,-19.5492,-42.12,22.33,97,100,1.72,BR,02/08/2023 22:47:36
248,beloha,-25.1667,45.05,24.29,75,100,3.7,MG,02/08/2023 22:47:36
249,lavrentiya,65.5833,-171.0,-24.44,97,100,1.12,RU,02/08/2023 22:45:37
250,toyooka,35.5333,134.8333,6.03,65,75,4.63,JP,02/08/2023 22:47:36
251,coromandel,-18.4733,-47.2003,19.67,88,100,1.6,BR,02/08/2023 22:47:00
252,havoysund,70.9963,24.6622,1.13,79,100,10.58,NO,02/08/2023 22:47:37
253,fram,-26.9833,-55.8833,28.33,37,30,2.07,PY,02/08/2023 22:47:37
254,calabozo,8.9242,-67.4293,27.18,57,75,3.97,VE,02/08/2023 22:47:37
255,pathalgaon,22.5667,83.4667,22.0,23,27,1.33,IN,02/08/2023 22:47:38
256,barranca,-10.75,-77.7667,22.42,82,27,2.65,PE,02/08/2023 22:47:38
257,nanortalik,60.1432,-45.2371,-3.39,87,100,3.97,GL,02/08/2023 22:43:55
258,vardo,70.3705,31.1107,1.99,75,99,19.55,NO,02/08/2023 22:43:39
259,balgazyn,51.0,95.2,-14.66,87,100,1.46,RU,02/08/2023 22:47:38
260,kavieng,-2.5744,150.7967,28.59,71,100,2.75,PG,02/08/2023 22:44:36
261,chuy,-33.6971,-53.4616,21.56,93,32,3.22,UY,02/08/2023 22:43:26
262,fare,-16.7,-151.0167,27.45,72,7,3.39,PF,02/08/2023 22:43:23
263,banda aceh,25.4833,80.3333,20.13,32,0,2.7,IN,02/08/2023 22:47:39
264,kavaratti,10.5669,72.642,26.36,70,100,1.73,IN,02/08/2023 22:45:42
265,baghdad,33.3406,44.4009,3.95,100,0,1.03,IQ,02/08/2023 22:47:39
266,bintulu,3.1667,113.0333,30.23,66,20,1.54,MY,02/08/2023 22:47:40
267,hay river,52.0705,-3.1274,7.38,97,100,1.33,GB,02/08/2023 22:47:40
268,nara,34.6851,135.8049,9.16,31,58,4.39,JP,02/08/2023 22:47:41
269,meulaboh,4.1363,96.1285,28.76,66,79,1.28,ID,02/08/2023 22:45:34
270,esperance,-33.8667,121.9,21.02,64,29,5.89,AU,02/08/2023 22:45:07
271,yar-sale,66.8333,70.8333,-12.92,96,94,4.72,RU,02/08/2023 22:42:51
272,margate,51.3813,1.3862,2.61,91,95,4.86,GB,02/08/2023 22:43:04
273,mana,5.6592,-53.7767,24.13,89,100,4.23,GF,02/08/2023 22:47:41
274,nizhnyaya omka,63.4737,41.607,-0.61,87,99,5.42,RU,02/08/2023 22:47:42
275,erenhot,43.6475,111.9767,-3.41,69,100,4.46,CN,02/08/2023 22:47:42
276,ostrovnoy,68.0531,39.5131,0.16,85,100,17.88,RU,02/08/2023 22:44:43
277,westerlo,51.0905,4.9154,0.55,73,27,3.6,BE,02/08/2023 22:47:43
278,west plains,31.8024,-97.0917,6.68,88,0,2.06,US,02/08/2023 22:47:43
279,bayir,37.2687,28.2167,-0.71,71,32,2.39,TR,02/08/2023 22:47:43
